Kentucky,FUR-BO-10001798,Bush Somerset Collection Bookcase,261.96,41.914,,CA-2016-152156
Kentucky,FUR-CH-10000454,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,731.94,219.582,,CA-2016-152156
California,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,14.62,6.871,,CA-2016-138688
Florida,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,957.577,-383.031,,US-2015-108966
Florida,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,22.368,2.516,,US-2015-108966
California,FUR-FU-10001487,Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood,48.86,14.169,,CA-2014-115812
California,OFF-AR-10002833,Newell 322,7.28,1.966,,CA-2014-115812
California,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,907.152,90.715,,CA-2014-115812
California,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,18.504,5.782,,CA-2014-115812
California,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,114.9,34.47,,CA-2014-115812
California,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,1706.184,85.309,,CA-2014-115812
California,TEC-PH-10002033,Konftel 250 Conference?phone?- Charcoal black,911.424,68.357,,CA-2014-115812
North Carolina,OFF-PA-10002365,Xerox 1967,15.552,5.443,,CA-2017-114412
Washington,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,407.976,132.592,,CA-2016-161389
Texas,OFF-AP-10002311,Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter,68.81,-123.858,,US-2015-118983
Texas,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,2.544,-3.816,,US-2015-118983
Wisconsin,OFF-ST-10004186,Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D,665.88,13.318,,CA-2014-105893
Utah,OFF-ST-10000107,Fellowes Super Stor/Drawer,55.5,9.99,,CA-2014-167164
California,OFF-AR-10003056,Newell 341,8.56,2.482,Yes,CA-2014-143336
California,TEC-PH-10001949,Cisco SPA 501G IP Phone,213.48,16.011,Yes,CA-2014-143336
California,OFF-BI-10002215,Wilson Jones Hanging View Binder, White, 1",22.72,7.384,Yes,CA-2014-143336
Nebraska,OFF-AR-10000246,Newell 318,19.46,5.06,,CA-2016-137330
Nebraska,OFF-AP-10001492,Acco Six-Outlet Power Strip, 4' Cord Length,60.34,15.688,,CA-2016-137330
Pennsylvania,FUR-CH-10002774,Global Deluxe Stacking Chair, Gray,71.372,-1.02,,US-2017-156909
Utah,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1044.63,240.265,,CA-2015-106320
California,OFF-BI-10001634,Wilson Jones Active Use Binders,11.648,4.222,,CA-2016-121755
California,TEC-AC-10003027,Imation?8GB Mini TravelDrive USB 2.0?Flash Drive,90.57,11.774,,CA-2016-121755
Pennsylvania,FUR-BO-10004834,Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish,3083.43,-1665.052,,US-2015-150630
Pennsylvania,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9.618,-7.053,,US-2015-150630
Pennsylvania,FUR-FU-10004848,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,124.2,15.525,,US-2015-150630
Pennsylvania,OFF-EN-10001509,Poly String Tie Envelopes,3.264,1.102,,US-2015-150630
Pennsylvania,OFF-AR-10004042,BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain,86.304,9.709,,US-2015-150630
Pennsylvania,OFF-BI-10001525,Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red,6.858,-5.715,,US-2015-150630
Pennsylvania,OFF-AR-10001683,Lumber Crayons,15.76,3.546,,US-2015-150630
Texas,OFF-PA-10000249,Easy-staple paper,29.472,9.947,,CA-2017-107727
Texas,TEC-PH-10004977,GE 30524EE4,1097.544,123.474,,CA-2016-117590
Texas,FUR-FU-10003664,Electrix Architect's Clamp-On Swing Arm Lamp, Black,190.92,-147.963,,CA-2016-117590
Texas,OFF-EN-10002986,#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes,113.328,35.415,,CA-2015-117415
Texas,FUR-BO-10002545,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors,532.399,-46.976,,CA-2015-117415
Texas,FUR-CH-10004218,Global Fabric Manager's Chair, Dark Gray,212.058,-15.147,,CA-2015-117415
Texas,TEC-PH-10000486,Plantronics HL10 Handset Lifter,371.168,41.756,,CA-2015-117415
Illinois,TEC-PH-10004093,Panasonic Kx-TS550,147.168,16.556,,CA-2017-120999
California,OFF-ST-10003479,Eldon Base for stackable storage shelf, platinum,77.88,3.894,,CA-2016-101343
