Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,41.914
Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,731.94,3,219.582
Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.871
Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.577,5,-383.031
Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,2.516
Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood,48.86,7,14.169
Office Supplies,Art,Newell 322,7.28,4,1.966
Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,90.715
Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,5.782
Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47
Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,85.309
Technology,Phones,Konftel 250 Conference?phone?- Charcoal black,911.424,4,68.357
Office Supplies,Paper,Xerox 1967,15.552,3,5.443
Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,132.592
Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter,68.81,5,-123.858
Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,-3.816
Office Supplies,Storage,Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D,665.88,6,13.318
Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,9.99
Office Supplies,Art,Newell 341,8.56,2,2.482
Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,16.011
Office Supplies,Binders,Wilson Jones Hanging View Binder, White, 1",22.72,4,7.384
Office Supplies,Art,Newell 318,19.46,7,5.06
Office Supplies,Appliances,Acco Six-Outlet Power Strip, 4' Cord Length,60.34,7,15.688
Furniture,Chairs,Global Deluxe Stacking Chair, Gray,71.372,2,-1.02
Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.265
Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,4.222
Technology,Accessories,Imation?8GB Mini TravelDrive USB 2.0?Flash Drive,90.57,3,11.774
Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish,3083.43,7,-1665.052
Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,-7.053
Furniture,Furnishings,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,124.2,3,15.525
Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,1.102
Office Supplies,Art,BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain,86.304,6,9.709
Office Supplies,Binders,Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red,6.858,6,-5.715
Office Supplies,Art,Lumber Crayons,15.76,2,3.546
Office Supplies,Paper,Easy-staple paper,29.472,3,9.947
Technology,Phones,GE 30524EE4,1097.544,7,123.474
